id,nameKR,nameVN,province,address,region,holes,rating,priceVND,oldPriceVND,discountPercent,facilities,descriptionKR,descriptionVN,gallery,lat,lng,teeTimes,ownerId
brg-legend-hill,BRG 레전드 힐,BRG Legend Hill,Hà Nội,"Soc Son District, Hanoi",North,18,4.5,2500000,3000000,17,Driving Range|Pro Shop|Restaurant|Caddie,베트남 북부의 명문 골프장,Sân golf hàng đầu phía Bắc Việt Nam,,21.247,105.857,06:00|06:30|07:00|07:30|08:00|08:30|09:00|10:00|11:00|13:00|14:00,owner-north
sky-lake,스카이 레이크 골프 클럽,Sky Lake Resort & Golf Club,Hà Nội,"Luong Son, Hoa Binh",North,36,4.6,2800000,3200000,12,Driving Range|Pro Shop|Restaurant|Spa|Caddie,호아빈 산속의 럭셔리 골프 리조트,Resort golf hạng sang vùng đồi Hòa Bình,,20.949,105.535,06:00|06:30|07:00|07:30|08:00|09:00|10:00|13:00|14:00,owner-north
van-tri,반 트리 골프 클럽,Van Tri Golf Club,Hà Nội,"Dong Anh District, Hanoi",North,18,4.3,2200000,2500000,12,Driving Range|Pro Shop|Restaurant|Caddie,하노이 시내 가까운 회원제 골프장,Sân golf gần trung tâm Hà Nội,,21.143,105.835,06:00|06:30|07:00|08:00|09:00|13:00|14:00,owner-north
tam-dao,땀 다오 골프 리조트,Tam Dao Golf Resort,Vĩnh Phúc,"Tam Dao District, Vinh Phuc",North,18,4.4,2300000,2600000,12,Driving Range|Pro Shop|Restaurant|Hotel|Caddie,운해가 있는 산악 골프장,Sân golf núi cao Tam Đảo,,21.466,105.643,06:00|07:00|08:00|09:00|13:00|14:00,owner-north
chi-linh,찌린 스타 골프,Chi Linh Star Golf,Hải Dương,"Chi Linh, Hai Duong",North,36,4.4,2100000,2400000,12,Driving Range|Pro Shop|Restaurant|Caddie,베트남 최대 36홀 회원제 코스,Sân 36 hố lớn nhất Hải Dương,,21.140,106.379,06:00|07:00|08:00|09:00|13:00|14:00,owner-north
dai-lai-star,따이라이 스타 골프,Dai Lai Star Golf,Vĩnh Phúc,"Phuc Yen, Vinh Phuc",North,27,4.3,2000000,2300000,13,Driving Range|Pro Shop|Restaurant|Caddie,따이라이 호수가 펼쳐진 27홀,Sân 27 hố ven hồ Đại Lải,,21.310,105.733,06:00|07:00|08:00|09:00|13:00|14:00,owner-north
hilltop-valley,힐탑 밸리 골프,Hilltop Valley Golf Club,Hòa Bình,"Luong Son, Hoa Binh",North,18,4.2,1800000,2100000,14,Driving Range|Pro Shop|Restaurant|Caddie,호아빈 산속 18홀 골프장,Sân golf núi 18 hố Hòa Bình,,20.876,105.523,06:00|07:00|08:00|09:00|13:00|14:00,owner-north
ba-na-hills,바나힐스 골프 클럽,Ba Na Hills Golf Club,Đà Nẵng,"Hoa Vang District, Da Nang",Central,18,4.7,3000000,3500000,14,Driving Range|Pro Shop|Restaurant|Spa|Caddie,니클라우스 디자인 챔피언십 코스,Sân golf chuẩn championship thiết kế Nicklaus,,15.999,108.026,06:00|06:30|07:00|07:30|08:00|09:00|10:00|13:00|14:00|15:00,owner-central
montgomerie-links,몽고메리 링크스 베트남,Montgomerie Links Vietnam,Quảng Nam,"Dien Ban Town, Quang Nam",Central,18,4.6,2900000,3400000,15,Driving Range|Pro Shop|Restaurant|Caddie|Buggy,몽고메리가 직접 디자인한 링크스 코스,Sân links do Montgomerie thiết kế,,15.928,108.272,06:00|06:30|07:00|08:00|09:00|13:00|14:00,owner-central
laguna-lang-co,라구나 랑꼬 골프 클럽,Laguna Lang Co Golf Club,Thừa Thiên Huế,"Phu Loc District, Hue",Central,18,4.6,3200000,3600000,11,Driving Range|Pro Shop|Restaurant|Spa|Hotel|Caddie,닉 팔도 디자인 명문 코스,Sân do Nick Faldo thiết kế,,16.319,108.064,06:00|06:30|07:00|08:00|09:00|13:00|14:00,owner-central
